experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_even,t_odd,ratio
bifurc,even_odd,_todd15,2,0.375,6,1776,231,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,1,0.375,6,17de,299,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.4375,7,24dd,398,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.375,6,3774,231,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,1,0.375,6,37dc,299,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,448e,58a4,True,41,spurious,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,4d66,5821,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.3125,5,5d22,5865,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,5d8a,58cd,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,648c,58a4,True,41,spurious,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.375,6,69b,3dc,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,1,0.375,6,6bd3,a75b,True,41,spurious,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.3125,5,7867,fd22,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,7b66,fc23,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.4375,7,7bce,fc8b,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.3125,5,7d20,5865,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,7d88,58cd,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.4375,7,84dd,398,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.375,6,8574,231,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.4375,7,85dc,299,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,1,0.3125,5,8bd3,a75b,True,41,spurious,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.375,6,a174,a633,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,2,0.375,6,a3dc,a69b,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,c1ae,fca6,True,41,correct,0,True,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,c966,fc23,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.4375,7,c9ce,fc8b,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,d8cf,fd8a,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.4375,7,dacf,fd8a,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,e1ac,fca6,True,41,correct,0,True,10,15,1.5
bifurc,even_odd,_todd15,0,0.375,6,e964,fc23,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,0,0.4375,7,e9cc,fc8b,False,1060,oscillated,-1,False,10,15,1.5
bifurc,even_odd,_todd15,1,0.375,6,fde,299,False,1060,oscillated,-1,False,10,15,1.5
